SN,Movie,Worldwide (In Cr),India Net (In Cr),India Gross (In Cr),Overseas (In Cr),Budget ( In Cr),Verdict,Genre,Movie Rating
266,Double Dhamaal,₹ 71.00,₹ 44.00,₹ 59.00,₹ 11.00,₹ 30.00,Hit,"Drama, History, Romance",8.1
267,Kaho Naa... Pyaar Hai,₹ 78.00,₹ 44.00,₹ 73.00,₹ 5.00,₹ 10.00,Blockbuster,"Comedy, Drama",8.1
268,Heroine,₹ 70.00,₹ 43.00,₹ 58.00,₹ 12.00,₹ 35.00,Average,"Adventure, Drama",8.1
269,Ek Villain Returns,₹ 60.00,₹ 43.00,₹ 51.00,₹ 9.00,₹ 72.00,flop,"Drama, War",8.1
270,Raja Hindustani,₹ 76.00,₹ 43.00,₹ 60.00,₹ 15.00,₹ 6.00,All Time Blockbuster,Drama,8.1
271,Agent Vinod,₹ 71.00,₹ 43.00,₹ 56.00,₹ 14.00,₹ 55.00,Flop,"Animation, Adventure, Fantasy",8.1
272,Shaandaar,₹ 73.00,₹ 43.00,₹ 59.00,₹ 13.00,₹ 69.00,Flop,"Horror, Mystery, ",8.1
273,I Hate Luv Storys,₹ 72.00,₹ 42.00,₹ 58.00,₹ 14.00,₹ 24.00,Hit,"Drama, Fantasy, Music",8.1
274,Romeo Akbar Walter,₹ 58.00,₹ 42.00,₹ 50.00,₹ 7.00,₹ 35.00,Above Average,"Adventure, Drama",8.1
275,Shubh Mangal Saavdhan,₹ 64.00,₹ 42.00,₹ 59.00,₹ 4.00,₹ 25.00,Hit,Drama,8.1
276,Madras Cafe,₹ 66.00,₹ 42.00,₹ 57.00,₹ 9.00,₹ 34.00,Average,"Action, , Thriller",8.1
277,Desi Boyz,₹ 80.00,₹ 42.00,₹ 57.00,₹ 22.00,₹ 54.00,Flop,"Biography, Drama",8.1
278,Veer-Zaara,₹ 95.00,₹ 42.00,₹ 57.00,₹ 38.00,₹ 22.00,SuperHit,Comedy,8.1
279,Jannat 2,₹ 62.00,₹ 42.00,₹ 57.00,₹ 5.00,₹ 23.00,Hit,"Drama, War",8.1
280,Mohabbatein,₹ 76.00,₹ 41.00,₹ 56.00,₹ 20.00,₹ 19.00,Blockbuster,"Drama, Sport",8.1
281,Devdas,₹ 90.00,₹ 41.00,₹ 56.00,₹ 34.00,₹ 30.00,Hit,Drama,8.1
282,All The Best: Fun Begins,₹ 58.00,₹ 41.00,₹ 53.00,₹ 4.00,₹ 40.00,Average,"Adventure, Drama, History",8.1
283,Kaminey,₹ 70.00,₹ 41.00,₹ 55.00,₹ 14.00,₹ 33.00,Above Average,"Biography, Drama",8.1
284,Chashme Baddoor,₹ 59.00,₹ 41.00,₹ 55.00,₹ 3.00,₹ 22.00,Hit,"Drama, Mystery, Thriller",8.1
285,Pagalpanti,₹ 51.00,₹ 41.00,₹ 47.00,₹ 4.00,₹ 60.00,Flop,"Comedy, Crime, Drama",8.1
286,Atithi Tum Kab Jaoge?,₹ 57.00,₹ 41.00,₹ 55.00,₹ 1.00,₹ 20.00,Hit,Drama,8.1
287,Wazir,₹ 78.00,₹ 41.00,₹ 55.00,₹ 23.00,₹ 35.00,Average,"Drama, Mystery, ",8.1
288,Batti Gul Meter Chalu,₹ 58.00,₹ 40.00,₹ 52.00,₹ 6.00,₹ 55.00,Flop,"Crime, Drama, Mystery",8.1
289,Phir Hera Pheri,₹ 69.00,₹ 40.00,₹ 55.00,₹ 14.00,₹ 18.00,SuperHit,"Crime, Drama",8.1
