SN,Movie,Worldwide (In Cr),India Net (In Cr),India Gross (In Cr),Overseas (In Cr),Budget ( In Cr),Verdict,Genre,Movie Rating
584,Jeet,₹ 28.00,₹ 16.00,₹ 27.00,₹ 1.00,₹ 6.00,SuperHit,"Action, Adventure, ",7.8
585,Humraaz,₹ 28.00,₹ 16.00,₹ 26.00,₹ 2.00,₹ 14.00,Average,"Crime, Drama, Mystery",7.8
586,The Tashkent Files,₹ 20.00,₹ 16.00,₹ 19.00,₹ 0.00,₹ 8.00,SuperHit,"Drama, Romance",7.8
587,Awara Paagal Deewana,₹ 27.00,₹ 16.00,₹ 21.00,₹ 5.00,₹ 13.00,Average,"Animation, Biography, Crime",7.8
588,Kachche Dhaage,₹ 28.00,₹ 16.00,₹ 27.00,₹ 1.00,₹ 10.00,Hit,"Biography, Comedy, Drama",7.8
589,Swades,₹ 33.00,₹ 16.00,₹ 22.00,₹ 11.00,₹ 20.00,Flop,"Drama, Mystery",7.8
590,1921,₹ 22.00,₹ 15.00,₹ 20.00,₹ 2.00,₹ 15.00,Above Average,Drama,7.8
591,Andaaz,₹ 28.00,₹ 15.00,₹ 21.00,₹ 7.00,₹ 8.00,Hit,"Drama, Romance",7.8
592,All Is Well,₹ 23.00,₹ 15.00,₹ 21.00,₹ 1.00,₹ 28.00,Flop,"Comedy, Romance",7.8
593,Dhol,₹ 23.00,₹ 15.00,₹ 21.00,₹ 1.00,₹ 14.00,Average,"Animation, Action, Adventure",7.8
594,Zilla Ghaziabad,₹ 22.00,₹ 15.00,₹ 21.00,₹ 1.00,₹ 34.00,Flop,"Comedy, Drama, Fantasy",7.8
595,Lajja,₹ 33.00,₹ 15.00,₹ 25.00,₹ 7.00,₹ 20.00,Flop,"Comedy, Drama, Family",7.8
596,Life in a Metro,₹ 24.00,₹ 15.00,₹ 21.00,₹ 3.00,₹ 8.00,Above Average,"Animation, Biography, Drama",7.8
597,Aitraaz,₹ 26.00,₹ 15.00,₹ 21.00,₹ 5.00,₹ 11.00,Average,"Animation, Adventure, Comedy",7.8
598,Kyaa Kool Hai Hum,₹ 21.00,₹ 15.00,₹ 20.00,₹ 0.00,₹ 5.00,Hit,"Crime, Drama, Mystery",7.8
599,Ponniyin Selvan - Part 2,₹ 319.00,₹ 15.00,₹ 200.00,₹ 119.00,₹ 1.00,Hit,"Comedy, Drama, Romance",7.8
600,Sholay,₹ 50.00,₹ 15.00,₹ 35.00,₹ 15.00,₹ 3.00,All Time Blockbuster,"Animation, Action, Adventure",7.8
601,1920 London,₹ 22.00,₹ 15.00,₹ 20.00,₹ 2.00,₹ 15.00,Below Average,"Biography, Comedy, Drama",7.8
602,8 x 10 Tasveer,₹ 23.00,₹ 15.00,₹ 20.00,₹ 2.00,₹ 35.00,Disaster,"Drama, Thriller",7.8
603,Apaharan,₹ 22.00,₹ 15.00,₹ 21.00,₹ 0.00,₹ 10.00,Above Average,"Action, Crime, Drama",7.8
604,Tezz,₹ 26.00,₹ 15.00,₹ 20.00,₹ 5.00,₹ 52.00,Disaster,"Crime, Drama, Mystery",7.8
605,Har Dil Jo Pyar Karega,₹ 32.00,₹ 15.00,₹ 25.00,₹ 6.00,₹ 13.00,Average,"Adventure, Biography, Crime",7.8
606,Guardians of the Galaxy Vol. 3,"₹ 4,350.00",₹ 15.00,₹ 54.00,"₹ 2,595.00",₹ 1.00,flop,"Action, Crime, Drama",7.8
607,Badal,₹ 25.00,₹ 15.00,₹ 25.00,₹ 0.00,₹ 10.00,Hit,"Biography, Drama, History",7.8
608,Deewane Huye Paagal,₹ 26.00,₹ 15.00,₹ 20.00,₹ 6.00,₹ 20.00,Flop,"Crime, Drama, Mystery",7.8
609,Tere Naam,₹ 24.00,₹ 15.00,₹ 19.00,₹ 4.00,₹ 12.00,Average,"Action, Crime, Thriller",7.8
610,Dev.D,₹ 19.00,₹ 15.00,₹ 19.00,₹ 0.00,₹ 11.00,Average,"Adventure, Fantasy",7.8
611,Saathiya,₹ 28.00,₹ 15.00,₹ 23.00,₹ 4.00,₹ 7.00,Hit,"Drama, History, Mystery",7.8
612,Ghatak,₹ 26.00,₹ 15.00,₹ 25.00,₹ 0.00,₹ 6.00,SuperHit,"Crime, Drama, Mystery",7.8
613,Mela,₹ 28.00,₹ 15.00,₹ 24.00,₹ 3.00,₹ 16.00,Flop,"Drama, History, Thriller",7.8
614,Zanjeer,₹ 22.00,₹ 15.00,₹ 20.00,₹ 2.00,₹ 45.00,Disaster,"Comedy, Drama",7.8
615,Haseena Maan Jaayegi,₹ 26.00,₹ 14.00,₹ 24.00,₹ 1.00,₹ 9.00,Hit,"Biography, Drama, Sport",7.8
616,Saala Khadoos,₹ 21.00,₹ 14.00,₹ 20.00,₹ 0.00,₹ 20.00,Flop,"Action, Thriller",7.8
617,Murder,₹ 21.00,₹ 14.00,₹ 20.00,₹ 0.00,₹ 5.00,SuperHit,"Drama, History, War",7.8
618,Baadshah,₹ 31.00,₹ 14.00,₹ 24.00,₹ 7.00,₹ 10.00,Above Average,"Drama, Music, Romance",7.8
619,Koyla,₹ 27.00,₹ 14.00,₹ 25.00,₹ 2.00,₹ 12.00,Average,"Adventure, Fantasy",7.8
620,Jhund,₹ 23.00,₹ 14.00,₹ 17.00,₹ 5.00,₹ 1.00,Average,Drama,7.8
621,Freaky Ali,₹ 21.00,₹ 14.00,₹ 19.00,₹ 1.00,₹ 18.00,Flop,"Drama, Mystery, Romance",7.8
622,Hamara Dil Aapke Paas Hai,₹ 29.00,₹ 14.00,₹ 23.00,₹ 5.00,₹ 8.00,Hit,"Crime, Drama",7.8
623,Fiza,₹ 31.00,₹ 14.00,₹ 23.00,₹ 7.00,₹ 5.00,Hit,"Biography, Crime, Drama",7.8
624,Gulaab Gang,₹ 22.00,₹ 14.00,₹ 19.00,₹ 3.00,₹ 27.00,Flop,"Action, Adventure, Fantasy",7.8
625,Khiladiyon Ka Khiladi,₹ 25.00,₹ 14.00,₹ 19.00,₹ 5.00,₹ 6.00,SuperHit,"Drama, Fantasy, Romance",7.8
626,Maine Pyar Kiya,₹ 27.00,₹ 14.00,₹ 23.00,₹ 4.00,₹ 4.00,All Time Blockbuster,"Action, Adventure, Drama",7.8
627,Bhoot,₹ 21.00,₹ 14.00,₹ 20.00,₹ 1.00,₹ 6.00,Hit,"Comedy, Drama",7.8
628,Apna Sapna Money Money,₹ 19.00,₹ 14.00,₹ 19.00,₹ 0.00,₹ 8.00,Above Average,"Action, Comedy, Mystery",7.8
629,Humko Deewana Kar Gaye,₹ 27.00,₹ 14.00,₹ 19.00,₹ 8.00,₹ 17.00,Flop,"Drama, Fantasy, Romance",7.8
630,Satyameva Jayate 2,₹ 15.00,₹ 14.00,₹ 12.00,₹ 2.00,₹ 60.00,flop,"Drama, Family, Musical",7.8
631,Yuva,₹ 23.00,₹ 14.00,₹ 19.00,₹ 3.00,₹ 11.00,Below Average,"Comedy, Crime, Drama",7.8
632,Satya,₹ 18.00,₹ 14.00,₹ 18.00,₹ 0.00,₹ 3.00,SuperHit,"Drama, Romance",7.8
633,Teraa Surroor,₹ 20.00,₹ 14.00,₹ 18.00,₹ 1.00,₹ 15.00,Average,"Biography, Drama, Sport",7.8
634,Dhadkan,₹ 26.00,₹ 14.00,₹ 18.00,₹ 7.00,₹ 9.00,Average,"Animation, Adventure, Comedy",7.8
635,Hindustan Ki Kasam,₹ 26.00,₹ 13.00,₹ 18.00,₹ 7.00,₹ 12.00,Average,"Action, Adventure, ",7.8
636,Bewakoofiyaan,₹ 21.00,₹ 13.00,₹ 18.00,₹ 3.00,₹ 19.00,Flop,"Biography, Drama, Music",7.8
637,Judaai,₹ 27.00,₹ 13.00,₹ 24.00,₹ 3.00,₹ 6.00,SuperHit,Drama,7.8
638,Bandit Queen,₹ 20.00,₹ 13.00,₹ 20.00,₹ 0.00,₹ 3.00,SuperHit,"Drama, Romance",7.8
639,Hum Tumhare Hain Sanam,₹ 31.00,₹ 13.00,₹ 18.00,₹ 12.00,₹ 12.00,Average,"Adventure, Biography, Drama",7.8
640,Ant-Man and the Wasp: Quantumania,"₹ 3,890.00",₹ 13.00,₹ 55.00,"₹ 2,155.00","₹ 1,500.00",Average,"Crime, Drama",7.8
641,Khamoshiyan: Silences Have Secrets,₹ 19.00,₹ 13.00,₹ 18.00,₹ 0.00,₹ 11.00,Average,"Animation, Comedy, Drama",7.8
642,Dhan Dhana Dhan Goal,₹ 21.00,₹ 13.00,₹ 18.00,₹ 2.00,₹ 18.00,Flop,"Action, Drama, Thriller",7.8
643,Great Grand Masti,₹ 20.00,₹ 13.00,₹ 18.00,₹ 1.00,₹ 38.00,Disaster,"Action, Adventure, Drama",7.8
644,Saajan Chale Sasural,₹ 23.00,₹ 13.00,₹ 23.00,₹ 0.00,₹ 4.00,SuperHit,"Animation, Drama, Fantasy",7.8
645,Company,₹ 23.00,₹ 13.00,₹ 21.00,₹ 2.00,₹ 8.00,Above Average,"Biography, Drama, Sport",7.8
646,Chup Chup Ke,₹ 24.00,₹ 13.00,₹ 18.00,₹ 6.00,₹ 10.00,Average,"Action, Adventure, Fantasy",7.8
647,Aankhen,₹ 18.00,₹ 13.00,₹ 18.00,₹ 0.00,₹ 2.00,All Time Blockbuster,Drama,7.8
648,Deewana Mastana,₹ 24.00,₹ 13.00,₹ 23.00,₹ 1.00,₹ 7.00,Hit,"Adventure, Drama, Romance",7.8
649,Hunterrr,₹ 18.00,₹ 13.00,₹ 18.00,₹ 0.00,₹ 9.00,Average,"Action, Crime, Thriller",7.8
650,Hate Story,₹ 17.00,₹ 13.00,₹ 17.00,₹ 0.00,₹ 9.00,Average,"Biography, Drama, Thriller",7.8
651,Babumoshai Bandookbaaz,₹ 18.00,₹ 13.00,₹ 18.00,₹ 0.00,₹ 10.00,Average,"Biography, Drama, Family",7.8
652,Ghulam,₹ 23.00,₹ 13.00,₹ 21.00,₹ 1.00,₹ 7.00,Hit,"Animation, Adventure, Comedy",7.8
653,India's Most Wanted,₹ 18.00,₹ 13.00,₹ 15.00,₹ 2.00,₹ 30.00,Disaster,"Drama, Romance",7.8
654,Bbuddah...Hoga Terra Baap,₹ 21.00,₹ 13.00,₹ 17.00,₹ 3.00,₹ 20.00,Flop,"Crime, Drama, Romance",7.8
655,Maa Tujhhe Salaam,₹ 21.00,₹ 13.00,₹ 21.00,₹ 0.00,₹ 12.00,Average,"Drama, , Thriller",7.8
656,Judwaa,₹ 23.00,₹ 13.00,₹ 17.00,₹ 5.00,₹ 6.00,Hit,"Action, Drama, Mystery",7.8
657,Paheli,₹ 31.00,₹ 13.00,₹ 18.00,₹ 13.00,₹ 14.00,Below Average,Drama,7.8
658,Shaadi Mein Zaroor Aana,₹ 17.00,₹ 13.00,₹ 16.00,₹ 0.00,₹ 13.00,Below Average,"Biography, Comedy, Drama",7.8
659,Major Saab,₹ 22.00,₹ 12.00,₹ 20.00,₹ 1.00,₹ 8.00,Hit,Drama,7.8
660,Major,₹ 58.00,₹ 12.00,₹ 45.00,₹ 13.00,₹ 30.00,SuperHit,"Action, Biography, Drama",7.8
661,Ujda Chaman,₹ 16.00,₹ 12.00,₹ 15.00,₹ 1.00,₹ 20.00,Flop,"Comedy, Drama, Family",7.8
662,Khuda Haafiz Chapter II,₹ 15.00,₹ 12.00,₹ 13.00,₹ 2.00,₹ 1.00,flop,"Drama, Romance",7.8
663,Phone Bhoot,₹ 17.00,₹ 12.00,₹ 15.00,₹ 2.00,₹ 25.00,flop,"Comedy, Drama",7.8
664,Mujhse Dosti Karoge!,₹ 32.00,₹ 12.00,₹ 20.00,₹ 12.00,₹ 11.00,Below Average,"Action, Crime, Drama",7.8
665,China Gate,₹ 22.00,₹ 12.00,₹ 21.00,₹ 0.00,₹ 9.00,Above Average,"Crime, Drama, Romance",7.8
666,Halla Bol,₹ 19.00,₹ 12.00,₹ 17.00,₹ 2.00,₹ 20.00,Flop,"Animation, Action, Crime",7.8
667,Dulhe Raja,₹ 21.00,₹ 12.00,₹ 21.00,₹ 0.00,₹ 5.00,SuperHit,"Action, Crime, Thriller",7.8
668,Kyon Ki,₹ 22.00,₹ 12.00,₹ 17.00,₹ 5.00,₹ 20.00,Flop,"Comedy, Drama",7.8
669,Gangster,₹ 16.00,₹ 12.00,₹ 16.00,₹ 0.00,₹ 5.00,Above Average,"Drama, Fantasy, Music",7.8
670,Coolie No. 1,₹ 21.00,₹ 12.00,₹ 20.00,₹ 0.00,₹ 3.00,SuperHit,"Crime, Drama",7.8
671,Manjhi - The Mountain Man,₹ 16.00,₹ 12.00,₹ 16.00,₹ 0.00,₹ 8.00,Average,"Drama, Thriller",7.8
672,God Tussi Great Ho,₹ 20.00,₹ 12.00,₹ 17.00,₹ 3.00,₹ 21.00,Flop,"Biography, Drama",7.8
673,Heroes,₹ 23.00,₹ 12.00,₹ 16.00,₹ 6.00,₹ 18.00,Flop,"Animation, Adventure, Drama",7.8
674,Hungama,₹ 18.00,₹ 12.00,₹ 17.00,₹ 1.00,₹ 6.00,Above Average,"Biography, Drama, History",7.8
675,Hera Pheri,₹ 21.00,₹ 12.00,₹ 16.00,₹ 4.00,₹ 7.00,Hit,"Action, Crime, Drama",7.8
676,Made In China,₹ 16.00,₹ 12.00,₹ 14.00,₹ 1.00,₹ 25.00,Flop,"Adventure, Comedy, ",7.8
677,Mere Dad Ki Maruti,₹ 17.00,₹ 12.00,₹ 16.00,₹ 0.00,₹ 10.00,Below Average,"Crime, Drama, History",7.8
678,Kya Kehna,₹ 21.00,₹ 12.00,₹ 19.00,₹ 1.00,₹ 4.00,SuperHit,"Action, Adventure, ",7.8
679,Mohra,₹ 22.00,₹ 12.00,₹ 16.00,₹ 6.00,₹ 3.00,Blockbuster,"Action, Comedy, Fantasy",7.8
680,Khalnayak,₹ 21.00,₹ 12.00,₹ 21.00,₹ 0.00,₹ 5.00,SuperHit,Comedy,7.8
681,Bandhan,₹ 21.00,₹ 11.00,₹ 20.00,₹ 0.00,₹ 5.00,Hit,"Comedy, Crime, Drama",7.8
682,Bunty Aur Babli 2,₹ 20.00,₹ 11.00,₹ 14.00,₹ 6.00,₹ 30.00,flop,"Adventure, Comedy, Family",7.8
683,Paan Singh Tomar,₹ 17.00,₹ 11.00,₹ 16.00,₹ 1.00,₹ 7.00,Average,Drama,7.8
684,Yamla Pagla Deewana Phir Se,₹ 17.00,₹ 11.00,₹ 14.00,₹ 2.00,₹ 30.00,Disaster,"Comedy, Drama",7.8
685,Fanney Khan,₹ 19.00,₹ 11.00,₹ 14.00,₹ 4.00,₹ 18.00,Flop,"Biography, Drama, History",7.8
686,Pyare Mohan,₹ 18.00,₹ 11.00,₹ 15.00,₹ 2.00,₹ 12.00,Flop,"Action, Comedy, Fantasy",7.8
687,Chup,₹ 19.00,₹ 11.00,₹ 13.00,₹ 5.00,₹ 25.00,Flop,"Adventure, Biography, Drama",7.8
688,Ek Aur Ek Gyarah,₹ 19.00,₹ 11.00,₹ 16.00,₹ 3.00,₹ 8.00,Below Average,"Comedy, Crime, Drama",7.8
689,Ab Tumhare Hawale Watan Saathiyo,₹ 19.00,₹ 11.00,₹ 15.00,₹ 3.00,₹ 20.00,Flop,"Family, ",7.8
690,Bobby Jasoos,₹ 20.00,₹ 11.00,₹ 15.00,₹ 4.00,₹ 24.00,Flop,Drama,7.8
691,Chal Mere Bhai,₹ 21.00,₹ 11.00,₹ 18.00,₹ 2.00,₹ 13.00,Flop,"Drama, Romance",7.8
692,Beta,₹ 21.00,₹ 11.00,₹ 21.00,₹ 0.00,₹ 4.00,Blockbuster,Western,7.8
693,A Wednesday!,₹ 15.00,₹ 11.00,₹ 15.00,₹ 0.00,₹ 3.00,Hit,"Adventure, History, War",7.8
694,Loveyatri,₹ 18.00,₹ 11.00,₹ 15.00,₹ 2.00,₹ 22.00,Flop,"Drama, Mystery, Thriller",7.8
695,Asoka,₹ 27.00,₹ 11.00,₹ 19.00,₹ 8.00,₹ 12.00,Below Average,"Animation, ",7.8
696,Arjun Pandit,₹ 31.00,₹ 11.00,₹ 24.00,₹ 7.00,₹ 9.00,Average,"Crime, Drama, Thriller",7.8
697,Deewangee,₹ 17.00,₹ 11.00,₹ 15.00,₹ 1.00,₹ 9.00,Average,"Action, Crime, Drama",7.8
698,Vaastav: The Reality,₹ 19.00,₹ 11.00,₹ 19.00,₹ 0.00,₹ 5.00,Hit,"Drama, Music, Musical",7.8
699,Chachi 420,₹ 20.00,₹ 11.00,₹ 19.00,₹ 0.00,₹ 4.00,Hit,"Family, Fantasy, Musical",7.8
700,An Action Hero,₹ 16.00,₹ 11.00,₹ 13.00,₹ 3.00,₹ 30.00,Flop,Drama,7.8
701,Poster Boys,₹ 14.00,₹ 11.00,₹ 14.00,₹ 0.00,₹ 18.00,Flop,Thriller,7.8
702,Daag: The Fire,₹ 20.00,₹ 11.00,₹ 18.00,₹ 1.00,₹ 6.00,Hit,"Comedy, Drama",7.8
703,Virasat,₹ 20.00,₹ 11.00,₹ 19.00,₹ 1.00,₹ 5.00,Hit,"Action, Biography, Crime",7.8
704,Lucknow Central,₹ 16.00,₹ 11.00,₹ 15.00,₹ 1.00,₹ 1.00,flop,"Drama, Family, Musical",7.8
705,Yes Boss,₹ 22.00,₹ 11.00,₹ 19.00,₹ 3.00,₹ 5.00,Hit,"Comedy, Family, Fantasy",7.8
706,Hadh Kar Di Aapne,₹ 19.00,₹ 11.00,₹ 17.00,₹ 1.00,₹ 7.00,Above Average,"Action, Drama, History",7.8
707,Vikrant Rona,₹ 100.00,₹ 11.00,₹ 94.00,₹ 5.00,₹ 95.00,flop,"Drama, Romance",7.8
708,Sye Raa Narasimha Reddy,₹ 246.00,₹ 11.00,₹ 216.00,₹ 30.00,₹ 275.00,Below Average,Horror,7.8
709,Kurukshetra,₹ 18.00,₹ 11.00,₹ 17.00,₹ 1.00,₹ 8.00,Average,"Crime, Drama",7.8
710,Why Cheat India,₹ 14.00,₹ 10.00,₹ 13.00,₹ 1.00,₹ 25.00,Disaster,"Action, Adventure, Drama",7.8
711,Darr,₹ 21.00,₹ 10.00,₹ 19.00,₹ 1.00,₹ 3.00,Blockbuster,"Action, Crime, Drama",7.8
712,Zameen,₹ 16.00,₹ 10.00,₹ 15.00,₹ 1.00,₹ 10.00,Below Average,"Adventure, Comedy, Film-Noir",7.8
713,Jaani Dushman: Ek Anokhi Kahani,₹ 19.00,₹ 10.00,₹ 14.00,₹ 4.00,₹ 18.00,Flop,"Film-Noir, Thriller",7.8
714,Jhootha Hi Sahi,₹ 16.00,₹ 10.00,₹ 14.00,₹ 2.00,₹ 35.00,Disaster,"Adventure, Drama, Western",7.8
715,Table No. 21,₹ 17.00,₹ 10.00,₹ 14.00,₹ 3.00,₹ 8.00,Below Average,"Mystery, Thriller",7.8
716,Guest iin London,₹ 11.00,₹ 10.00,₹ 11.00,₹ 0.00,₹ 28.00,Disaster,"Comedy, Family, Romance",7.8
717,Jaanwar,₹ 18.00,₹ 10.00,₹ 14.00,₹ 4.00,₹ 6.00,Hit,"Drama, Horror, ",7.8
718,Dil Se..,₹ 24.00,₹ 10.00,₹ 14.00,₹ 9.00,₹ 8.00,Hit,"Comedy, Musical, War",7.8
719,Kunwara,₹ 19.00,₹ 10.00,₹ 18.00,₹ 1.00,₹ 9.00,Below Average,"Action, Crime, Drama",7.8
720,Phir Bhi Dil Hai Hindustani,₹ 24.00,₹ 10.00,₹ 17.00,₹ 7.00,₹ 13.00,Flop,"Drama, Horror, ",7.8
721,Nayak: The Real Hero,₹ 19.00,₹ 10.00,₹ 17.00,₹ 2.00,₹ 20.00,Flop,Drama,7.7
722,Tumko Na Bhool Paayenge,₹ 19.00,₹ 10.00,₹ 17.00,₹ 2.00,₹ 12.00,Flop,"Drama, Romance",7.7
723,Rock On 2,₹ 17.00,₹ 10.00,₹ 14.00,₹ 3.00,₹ 40.00,Disaster,"Action, Adventure, Comedy",7.7
724,Bichhoo,₹ 17.00,₹ 10.00,₹ 17.00,₹ 0.00,₹ 7.00,Above Average,"Crime, Drama, Mystery",7.7
725,John Wick: Chapter 4,"₹ 3,050.00",₹ 10.00,₹ 61.00,"₹ 1,635.00",₹ 900.00,Hit,"Horror, Mystery, Thriller",7.7
726,Hello Brother,₹ 20.00,₹ 10.00,₹ 17.00,₹ 2.00,₹ 9.00,Below Average,"Action, Adventure, Thriller",7.7
727,Mirzya,₹ 15.00,₹ 10.00,₹ 14.00,₹ 0.00,₹ 45.00,Disaster,"Comedy, Drama, Romance",7.7
728,Gangaajal,₹ 16.00,₹ 10.00,₹ 14.00,₹ 2.00,₹ 7.00,Average,"Comedy, Horror",7.7
729,Wajah Tum Ho,₹ 14.00,₹ 10.00,₹ 14.00,₹ 0.00,₹ 14.00,Flop,"Animation, Drama, Family",7.7
730,Albela,₹ 18.00,₹ 10.00,₹ 17.00,₹ 1.00,₹ 10.00,Below Average,"Biography, Drama, Romance",7.7
731,Mukkabaaz,₹ 0.00,₹ 10.00,₹ 0.00,₹ 0.00,₹ 10.00,Above Average,"Action, Adventure, Comedy",7.7
732,Bhoomi (film),₹ 14.00,₹ 10.00,₹ 14.00,₹ 0.00,₹ 25.00,Disaster,"Drama, Romance",7.7
733,1920,₹ 13.00,₹ 10.00,₹ 13.00,₹ 0.00,₹ 6.00,Average,"Comedy, Drama",7.7
734,Paltan,₹ 14.00,₹ 10.00,₹ 13.00,₹ 1.00,₹ 25.00,Flop,"Comedy, Drama",7.7
735,Revolver Rani,₹ 13.00,₹ 10.00,₹ 13.00,₹ 0.00,₹ 22.00,Flop,"Drama, Romance",7.7
736,Bheja Fry 2,₹ 17.00,₹ 10.00,₹ 13.00,₹ 3.00,₹ 9.00,Average,"Drama, Sport",7.7
737,Vikram,₹ 414.00,₹ 10.00,₹ 289.00,₹ 125.00,₹ 120.00,All Time Blockbuster,"Drama, Music, Romance",7.7
738,Firangi,₹ 16.00,₹ 10.00,₹ 13.00,₹ 2.00,₹ 25.00,Flop,"Action, Adventure, ",7.7
739,Angrezi Medium,₹ 15.00,₹ 10.00,₹ 12.00,₹ 3.00,₹ 1.00,flop,"Drama, Music, Musical",7.7
740,Saheb Biwi Aur Gangster,₹ 14.00,₹ 10.00,₹ 13.00,₹ 0.00,₹ 5.00,Hit,"Adventure, Comedy, Drama",7.7
741,Tumbbad,₹ 13.00,₹ 10.00,₹ 13.00,₹ 0.00,₹ 1.00,Flop,"Animation, Adventure, Comedy",7.7
742,Pataakha,₹ 13.00,₹ 10.00,₹ 13.00,₹ 0.00,₹ 20.00,Flop,"Animation, Adventure, Drama",7.7
743,Anari No.1,₹ 17.00,₹ 10.00,₹ 17.00,₹ 0.00,₹ 6.00,Hit,Drama,7.7
744,Hogi Pyaar Ki Jeet,₹ 14.00,₹ 10.00,₹ 13.00,₹ 0.00,₹ 6.00,Hit,"Comedy, Fantasy, Romance",7.7
745,Shaadi Se Pehle,₹ 15.00,₹ 10.00,₹ 13.00,₹ 2.00,₹ 10.00,Flop,"Animation, Action, Adventure",7.7
746,Fida,₹ 16.00,₹ 10.00,₹ 15.00,₹ 1.00,₹ 10.00,Below Average,"Drama, , Thriller",7.7
747,Tera Jadoo Chal Gayaa,₹ 18.00,₹ 9.00,₹ 16.00,₹ 2.00,₹ 8.00,Average,"Action, Adventure, ",7.7
748,Ragini MMS,₹ 13.00,₹ 9.00,₹ 13.00,₹ 0.00,₹ 5.00,Above Average,"Drama, War",7.7
749,Love Sex aur Dhokha,₹ 12.00,₹ 9.00,₹ 12.00,₹ 0.00,₹ 4.00,Above Average,"Biography, Drama",7.7
750,Jaan,₹ 17.00,₹ 9.00,₹ 16.00,₹ 0.00,₹ 4.00,SuperHit,"Action, Adventure, ",7.7
751,Phoonk,₹ 13.00,₹ 9.00,₹ 13.00,₹ 0.00,₹ 4.00,Hit,Comedy,7.7
752,Welcome to Sajjanpur,₹ 13.00,₹ 9.00,₹ 13.00,₹ 0.00,₹ 8.00,Average,"Action, Adventure, Thriller",7.7
753,Sabse Bada Khiladi,₹ 16.00,₹ 9.00,₹ 12.00,₹ 3.00,₹ 4.00,Hit,"Comedy, Drama, Romance",7.7
754,Saajan,₹ 18.00,₹ 9.00,₹ 18.00,₹ 0.00,₹ 4.00,SuperHit,"Biography, Drama, Thriller",7.7
755,Aap Mujhe Achche Lagne Lage,₹ 19.00,₹ 9.00,₹ 14.00,₹ 4.00,₹ 10.00,Flop,"Comedy, Drama, Romance",7.7
756,Mr. and Mrs. Khiladi,₹ 13.00,₹ 9.00,₹ 12.00,₹ 0.00,₹ 5.00,Hit,"Adventure, Family, Fantasy",7.7
757,Aan: Men at Work,₹ 14.00,₹ 9.00,₹ 12.00,₹ 1.00,₹ 15.00,Disaster,"Animation, Adventure, Comedy",7.7
758,Aksar 2,₹ 12.00,₹ 9.00,₹ 11.00,₹ 0.00,₹ 9.00,Flop,"Biography, Drama, History",7.7
759,Krantiveer,₹ 14.00,₹ 9.00,₹ 14.00,₹ 0.00,₹ 2.00,Blockbuster,"Animation, Drama, Fantasy",7.7
760,Sanam Teri Kasam,₹ 15.00,₹ 9.00,₹ 12.00,₹ 2.00,₹ 18.00,Flop,"Biography, Crime, Drama",7.7
761,Diljale,₹ 15.00,₹ 9.00,₹ 12.00,₹ 3.00,₹ 5.00,Hit,"Comedy, Drama, Romance",7.7
762,Ajay,₹ 16.00,₹ 9.00,₹ 16.00,₹ 0.00,₹ 6.00,Average,"Animation, Adventure, Comedy",7.7
763,Anek,₹ 9.00,₹ 9.00,₹ 10.00,₹ 1.00,₹ 1.00,Disaster,"Crime, Drama, Fantasy",7.7
764,Julie,₹ 13.00,₹ 9.00,₹ 12.00,₹ 0.00,₹ 5.00,Above Average,"Crime, Drama",7.7
765,Namaste England,₹ 12.00,₹ 9.00,₹ 11.00,₹ 0.00,₹ 50.00,Disaster,"Drama, , Thriller",7.7
766,Pyar ka Punchnama,₹ 17.00,₹ 9.00,₹ 12.00,₹ 5.00,₹ 9.00,Average,Drama,7.7
767,Pal Pal Dil Ke Paas,₹ 12.00,₹ 9.00,₹ 10.00,₹ 2.00,₹ 30.00,Disaster,"Biography, Drama, History",7.7
768,Drona,₹ 18.00,₹ 8.00,₹ 13.00,₹ 4.00,₹ 35.00,Disaster,"Crime, Drama, Mystery",7.7
769,Haan Maine Bhi Pyaar Kiya,₹ 19.00,₹ 8.00,₹ 12.00,₹ 7.00,₹ 11.00,Flop,"Action, Crime, Drama",7.7
770,Bhai,₹ 14.00,₹ 8.00,₹ 13.00,₹ 1.00,₹ 5.00,Hit,"Drama, History, Music",7.7
771,International Khiladi,₹ 16.00,₹ 8.00,₹ 11.00,₹ 4.00,₹ 7.00,Average,"Biography, Drama, Music",7.7
772,HIT â€“ The First Case,₹ 8.00,₹ 8.00,₹ 10.00,₹ 1.00,₹ 1.00,flop,"Animation, Adventure, Comedy",7.7
773,Dil Kya Kare,₹ 18.00,₹ 8.00,₹ 14.00,₹ 4.00,₹ 9.00,Flop,"Drama, Thriller, War",7.7
774,Banjo,₹ 13.00,₹ 8.00,₹ 11.00,₹ 1.00,₹ 20.00,Flop,"Drama, Romance",7.7
775,Bheja Fry,₹ 11.00,₹ 8.00,₹ 11.00,₹ 0.00,₹ 1.00,Hit,"Action, Crime, Drama",7.7
776,Tujhe Meri Kasam,₹ 12.00,₹ 8.00,₹ 12.00,₹ 0.00,₹ 3.00,Above Average,"Crime, Drama, Thriller",7.7
777,Arjun Patiala,₹ 12.00,₹ 8.00,₹ 10.00,₹ 2.00,₹ 25.00,Disaster,"Action, Comedy, Fantasy",7.7
778,Guddu Rangeela,₹ 13.00,₹ 8.00,₹ 11.00,₹ 1.00,₹ 15.00,Disaster,"Action, Mystery, Thriller",7.7
